allocation_mode,bandwidth_gbps,cache_hit_rate,demand_hits,demand_loads,demand_misses,demand_transfer_bytes,expert_bytes,num_experts,num_layers,oracle_gap_ms,oracle_gap_ratio,policy,prefetch_loads,prefetch_queue_depth,prefetch_transfer_bytes,prefetch_waste_count,stall_ms,stall_ms_per_input_token,stall_ms_per_token_layer_event,total_budget_fraction,total_cache_bytes,total_cache_slots,total_expert_refs,transfer_bytes,transfer_bytes_per_input_token,transfer_bytes_per_token_layer_event,waste_bytes,waste_bytes_per_input_token,window_size,workload_weighted_miss_rate,wrec_c_candidates_per_layer,wrec_c_max_slots_per_layer,wrec_c_min_slots_per_layer,wrec_c_overlap_ms,wrec_contention_penalty,wrec_cross_layer_weight,wrec_history_size,wrec_recent_weight,wrec_request_weight
uniform_per_layer,41.37220609315469,0.08043981481481481,973,11123,11123,3918872444928.0,352321536.0,8,32,87015.45783519743,0.918637058347568,lru,0,0,0.0,0,94722.34659433363,501.1764370070563,15.661763656470509,0.125,11274289152.0,32,12096,3918872444928.0,20734774840.88889,647961713.7777778,0.0,0.0,0,0.9195601851851852,,,,,0.0,0.0,0,0.0,0.0
global_wrec_adaptive,41.37220609315469,0.7020502645502645,8492,3604,3604,1269766815744.0,352321536.0,8,32,22984.411890506744,0.7488901220865706,wrec_h2,0,0,0.0,0,30691.30064964294,162.3878341250949,5.074619816409216,0.125,11274289152.0,32,12096,1269766815744.0,6718342940.444445,209948216.8888889,0.0,0.0,0,0.29794973544973546,0,0,0,0.0,0.0,1024.0,8,512.0,1024.0
global_wrec_constrained,41.37220609315469,0.7020502645502645,8492,3604,3604,1269766815744.0,352321536.0,8,32,22984.411890506744,0.7488901220865706,wrec_c,0,0,0.0,0,30691.30064964294,162.3878341250949,5.074619816409216,0.125,11274289152.0,32,12096,1269766815744.0,6718342940.444445,209948216.8888889,0.0,0.0,4,0.29794973544973546,4,8,0,0.0,0.0,1024.0,8,512.0,1024.0
global_belady,41.37220609315469,0.9251818783068783,11191,905,905,318850990080.0,352321536.0,8,32,0.0,0.0,belady_oracle,0,0,0.0,0,7706.888759136198,40.777189201778825,1.2742871625555883,0.125,11274289152.0,32,12096,318850990080.0,1687042275.5555556,52720071.11111111,0.0,0.0,0,0.07481812169312169,0,0,0,0.0,0.0,0.0,0,0.0,0.0
