case_id,status,num_requests,input_tokens,output_tokens,total_tokens,wall_time_s,requests_per_s,input_tokens_per_s,total_tokens_per_s,p95_ttft_ms,p95_e2e_ms,shadow_miss_rate,p95_tpot_ms,output_tokens_per_s,mean_tpot_ms,mean_ttft_ms,mean_e2e_ms,router_events,expert_refs,online_loop_us_per_expert_ref,request_log,sidecar_metrics_json
slot16_mbt4,success,32,788,32,820,193.56848788261414,0.16531616457842963,4.07091055274383,4.23622671732226,15559.79831218719,15559.841966629023,0.7540186125211505,,0.16531616457842963,,6048.533529043198,6048.581659793854,18912,75648,619.6383193871617,/root/WREC/results/wrec/runtime_finite_slot_qwen_single_gpu_sweep_20260511T084853Z/slot16_mbt4_request_log.jsonl,/root/WREC/results/wrec/runtime_finite_slot_qwen_single_gpu_sweep_20260511T084853Z/slot16_mbt4_sidecar_metrics.json
slot24_mbt4,success,32,788,32,820,172.9790554046631,0.18499349487797792,4.555464811370206,4.740458306248184,13543.131577968592,13543.176341056818,0.7540186125211505,,0.18499349487797792,,5405.091620981693,5405.140548944473,18912,75648,636.8501149534686,/root/WREC/results/wrec/runtime_finite_slot_qwen_single_gpu_sweep_20260511T084853Z/slot24_mbt4_request_log.jsonl,/root/WREC/results/wrec/runtime_finite_slot_qwen_single_gpu_sweep_20260511T084853Z/slot24_mbt4_sidecar_metrics.json
slot32_mbt4,success,32,788,32,820,159.42478823661804,0.20072160894142538,4.9427696201826,5.143491229124026,12007.34002590179,12007.395613193507,0.7540186125211505,,0.20072160894142538,,4981.541223824024,4981.590688228607,18912,75648,618.9521546504865,/root/WREC/results/wrec/runtime_finite_slot_qwen_single_gpu_sweep_20260511T084853Z/slot32_mbt4_request_log.jsonl,/root/WREC/results/wrec/runtime_finite_slot_qwen_single_gpu_sweep_20260511T084853Z/slot32_mbt4_sidecar_metrics.json
slot32_mbt8,success,32,788,32,820,153.486070394516,0.2084879749526987,5.134016383210206,5.342504358162905,11262.717342376705,11262.760734558102,0.7540186125211505,,0.2084879749526987,,4795.977853238583,4796.023920178413,18912,75648,622.8936571753384,/root/WREC/results/wrec/runtime_finite_slot_qwen_single_gpu_sweep_20260511T084853Z/slot32_mbt8_request_log.jsonl,/root/WREC/results/wrec/runtime_finite_slot_qwen_single_gpu_sweep_20260511T084853Z/slot32_mbt8_sidecar_metrics.json
