case_id,status,num_requests,input_tokens,output_tokens,total_tokens,wall_time_s,requests_per_s,input_tokens_per_s,total_tokens_per_s,p95_ttft_ms,p95_e2e_ms,gpu0_peak_memory_used_mib,gpu0_avg_memory_used_mib,gpu0_peak_memory_utilization,shadow_miss_rate,p95_tpot_ms,output_tokens_per_s,mean_tpot_ms,mean_ttft_ms,mean_e2e_ms,router_events,expert_refs,online_loop_us_per_expert_ref,gpu_metrics_summary_json,request_log,sidecar_metrics_json
finite_slot_slot24_mbt4_r1,success,16,8526,16,8542,1691.9345247745514,0.009456630718101804,5.039202093908498,5.0486587246266,163000.30320882797,163000.34737586975,17441.0,17441.0,0.7100227975899691,0.7727624814293533,,0.009456630718101804,,105744.74804103374,105744.79965865612,204624,818496,615.0940154612852,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/finite_slot_slot24_mbt4_r1_gpu_summary.json,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/finite_slot_slot24_mbt4_r1_request_log.jsonl,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/finite_slot_slot24_mbt4_r1_sidecar_metrics.json
finite_slot_slot32_mbt4_r1,success,16,8526,16,8542,1447.7704575061798,0.011051475679066136,5.889055102482367,5.9001065781614335,139688.61091136932,139688.65758180618,17441.0,17441.0,0.7100227975899691,0.7727624814293533,,0.011051475679066136,,90484.50544476509,90484.54907536507,204624,818496,613.3691391271308,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/finite_slot_slot32_mbt4_r1_gpu_summary.json,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/finite_slot_slot32_mbt4_r1_request_log.jsonl,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/finite_slot_slot32_mbt4_r1_sidecar_metrics.json
finite_slot_slot32_mbt8_r1,success,16,8526,16,8542,1318.7599177360535,0.012132610177800658,6.465164648495525,6.477297258673326,126701.2482881546,126701.29442214966,17441.0,17441.0,0.7100227975899691,0.7727637031824224,,0.012132610177800658,,82421.27577960491,82421.32233083248,204624,818496,629.8551535303776,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/finite_slot_slot32_mbt8_r1_gpu_summary.json,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/finite_slot_slot32_mbt8_r1_request_log.jsonl,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/finite_slot_slot32_mbt8_r1_sidecar_metrics.json
no_wrec_mbt4_r1,success,16,8526,16,8542,1772.6914172172546,0.009025823583619854,4.80963574212143,4.8186615657050496,168971.93598747253,168971.98277711868,17441.0,17441.0,0.7100227975899691,,,0.009025823583619854,,110792.1151816845,110792.160987854,,,,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/no_wrec_mbt4_r1_gpu_summary.json,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/no_wrec_mbt4_r1_request_log.jsonl,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/no_wrec_mbt4_r1_sidecar_metrics.json
no_wrec_mbt8_r1,success,16,8526,16,8542,1503.088163137436,0.010644751513845186,5.672321962940253,5.682966714454098,144656.51607513428,144656.56626224518,17441.0,17441.0,0.7100227975899691,,,0.010644751513845186,,93941.8888092041,93941.93801283836,,,,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/no_wrec_mbt8_r1_gpu_summary.json,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/no_wrec_mbt8_r1_request_log.jsonl,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_mem_selected/no_wrec_mbt8_r1_sidecar_metrics.json
