case_id,status,num_requests,input_tokens,output_tokens,total_tokens,wall_time_s,requests_per_s,input_tokens_per_s,total_tokens_per_s,p95_ttft_ms,p95_e2e_ms,gpu0_peak_memory_used_mib,gpu0_avg_memory_used_mib,gpu0_peak_memory_utilization,shadow_miss_rate,p95_tpot_ms,output_tokens_per_s,mean_tpot_ms,mean_ttft_ms,mean_e2e_ms,router_events,expert_refs,online_loop_us_per_expert_ref,gpu_metrics_summary_json,request_log,sidecar_metrics_json
finite_slot_slot16_mbt4_r1,success,16,8526,16,8542,2041.1995887756348,0.007838527936210893,4.17695557400838,4.184794101944591,193915.89003801346,193915.9877896309,,,,0.7727624814293533,,0.007838527936210893,,127573.46893846989,127573.52501153946,204624,818496,636.560167966612,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/finite_slot_slot16_mbt4_r1_gpu_summary.json,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/finite_slot_slot16_mbt4_r1_request_log.jsonl,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/finite_slot_slot16_mbt4_r1_sidecar_metrics.json
finite_slot_slot24_mbt4_r1,success,16,8526,16,8542,1709.999825000763,0.009356726103754345,4.985965422538096,4.995322148641851,164463.70726823807,164463.75632286072,,,,0.7727624814293533,,0.009356726103754345,,106873.78053367138,106873.82762134075,204624,818496,633.5133535765599,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/finite_slot_slot24_mbt4_r1_gpu_summary.json,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/finite_slot_slot24_mbt4_r1_request_log.jsonl,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/finite_slot_slot24_mbt4_r1_sidecar_metrics.json
finite_slot_slot32_mbt4_r1,success,16,8526,16,8542,1474.1076650619507,0.010854024016846549,5.783838047977104,5.794692071993951,142127.0369887352,142127.08115577698,,,,0.7727624814293533,,0.010854024016846549,,92130.59851527214,92130.64250349998,204624,818496,638.4781122448979,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/finite_slot_slot32_mbt4_r1_gpu_summary.json,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/finite_slot_slot32_mbt4_r1_request_log.jsonl,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/finite_slot_slot32_mbt4_r1_sidecar_metrics.json
finite_slot_slot32_mbt8_r1,success,16,8526,16,8542,1315.6911199092865,0.01216090901419412,6.480244390938692,6.492405299952886,126940.66256284714,126940.71179628372,,,,0.7727637031824224,,0.01216090901419412,,82229.5222133398,82229.57310080528,204624,818496,624.5436614644422,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/finite_slot_slot32_mbt8_r1_gpu_summary.json,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/finite_slot_slot32_mbt8_r1_request_log.jsonl,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/finite_slot_slot32_mbt8_r1_sidecar_metrics.json
no_wrec_mbt4_r1,success,16,8526,16,8542,1770.3123831748962,0.009037952935348866,4.816099170424027,4.825137123359376,168844.33031082153,168844.37733888626,,,,,,0.009037952935348866,,110643.40999722481,110643.45900714397,,,,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/no_wrec_mbt4_r1_gpu_summary.json,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/no_wrec_mbt4_r1_request_log.jsonl,/root/WREC/results/wrec/runtime_qwen_real_inference_main_20260514T_prefill_main_n16_maxnew1/no_wrec_mbt4_r1_sidecar_metrics.json
